Question,Query Classification Result JSON
What is the total number of AML fines imposed by the FCA?,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[""FCA""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""sum"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the total number of AML fines imposed by the FCA?"",""convex_filters"":{""regulatorName"":""FCA"",""field"":""AML""}}"
What is the total value of AML fines imposed by the FCA?,"{""query_type"":""aggregation"",""intent"":""sum"",""entities"":{""companies"":[],""regulators"":[""FCA""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""sum"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the total value of AML fines imposed by the FCA?"",""convex_filters"":{""regulatorName"":""FCA"",""field"":""AML""}}"
What is the most common violation type that FCA have taken enforcement action against?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""FCA""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the most common violation type that FCA have taken enforcement action against?"",""convex_filters"":{""regulatorName"":""FCA""}}"
How many times has Barclays Bank been subject to enforcement action by the FCA?,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[""Barclays Bank""],""regulators"":[""FCA""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""How many times has Barclays Bank been subject to enforcement action by the FCA?"",""convex_filters"":{""regulatorName"":""FCA"",""subjectName"":""Barclays Bank""}}"
Which sector has FINCEN imposed sanctions against most often?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""FINCEN""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Which sector has FINCEN imposed sanctions against most often?"",""convex_filters"":{""regulatorName"":""FINCEN""}}"
What is the proportion of sanctions against casinos vs money services businesses by FINCEN?,"{""query_type"":""comparative_analysis"",""intent"":""compare"",""entities"":{""companies"":[],""regulators"":[""FINCEN""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[""Casinos"",""Money Services Business""],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":true,""semantic_depth"":""summary"",""confidence"":""medium"",""ambiguities"":[""Denominator for proportion is ambiguous: could mean proportion of all FINCEN enforcement actions, or proportion only among casino and money services business cases.""],""metric"":""proportion"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the proportion of sanctions against casinos vs money services businesses by FINCEN?"",""convex_filters"":{""regulatorName"":""FINCEN"",""sector"":[""Casinos"",""Money Services Business""]}}"
What is the most common violation type sanctioned by FINCEN?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""FINCEN""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the most common violation type sanctioned by FINCEN?"",""convex_filters"":{""regulatorName"":""FINCEN""}}"
What is the largest AML fine imposed by MAS?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""MAS""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the largest AML fine imposed by MAS?"",""convex_filters"":{""regulatorName"":""MAS"",""field"":""AML""}}"
"How many AML sanctions has MAS imposed on average each year, over the last 7 years?","{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[""MAS""],""dates"":{""relative"":""last_7_years"",""start"":""2019-01-01"",""end"":""2025-12-31"",""group_by"":""year""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""average"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""How many AML sanctions has MAS imposed on average each year, over the last 7 years?"",""convex_filters"":{""regulatorName"":""MAS"",""field"":""AML"",""dateOfAction_gte"":""2019-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
Is there a trend of increasing or decreasing AML enforcement actions with MAS over time?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""MAS""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""trend"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Is there a trend of increasing or decreasing AML enforcement actions with MAS over time?"",""convex_filters"":{""regulatorName"":""MAS"",""field"":""AML""}}"
Which sector has AUSTRAC imposed the most AML sanctions on over time?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""AUSTRAC""],""dates"":{""time_granularity"":""year"",""scope"":""all_available_years""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Which sector has AUSTRAC imposed the most AML sanctions on over time?"",""convex_filters"":{""regulatorName"":""AUSTRAC"",""field"":""AML""}}"
"Of the sanctions imposed by AUSTRAC on the gambling sector, what can compliance officers learn from these cases?","{""query_type"":""grounded_summary"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""AUSTRAC""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[""Gambling""],""fields"":[]},""requires_aggregation"":false,""requires_semantic_search"":true,""semantic_depth"":""detailed"",""confidence"":""medium"",""ambiguities"":[""'Sanctions imposed' is interpreted as enforcement actions/cases, not as violation types or a fine-only filter."",""No specific enforcement action type is specified, so all AUSTRAC enforcement actions in the gambling sector are in scope.""],""metric"":null,""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Of the sanctions imposed by AUSTRAC on the gambling sector, what can compliance officers learn from these cases?"",""convex_filters"":{""regulatorName"":""AUSTRAC"",""sector"":""Gambling""}}"
"With FINTRAC, which sector receives the largest fines?","{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""FINTRAC""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""With FINTRAC, which sector receives the largest fines?"",""convex_filters"":{""regulatorName"":""FINTRAC""}}"
Which sector is most commonly sanctioned by FINTRAC?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""FINTRAC""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Which sector is most commonly sanctioned by FINTRAC?"",""convex_filters"":{""regulatorName"":""FINTRAC""}}"
Which regulator has imposed the most sanctions on Virtual Asset Service Providers to date?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[],""dates"":{""end"":""2026-05-10""},""violation_types"":[],""jurisdictions"":[],""sectors"":[""Virtual Asset Service Provider""],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Which regulator has imposed the most sanctions on Virtual Asset Service Providers to date?"",""convex_filters"":{""sector"":""Virtual Asset Service Provider"",""dateOfAction_lte"":""2026-05-10""}}"
"Of all the sanctions imposed by all regulators of virtual assets services providers, what is the most common issue / violation?","{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[""Virtual Assets Services Provider (VASP)""],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""medium"",""ambiguities"":[""Sector phrase 'virtual assets services providers' may match multiple VASP sector labels in the data.""],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Of all the sanctions imposed by all regulators of virtual assets services providers, what is the most common issue / violation?"",""convex_filters"":{""sector"":""Virtual Assets Services Provider (VASP)""}}"
Which country issues the most warnings?,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Which country issues the most warnings?"",""convex_filters"":{}}"
What is the largest single fine by any regulator on the DNFBP sector?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[""DNFBP""],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""medium"",""ambiguities"":[""Largest fine comparison may involve multiple currencies unless normalized or filtered by currency.""],""metric"":""max"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the largest single fine by any regulator on the DNFBP sector?"",""convex_filters"":{""sector"":""DNFBP""}}"
Which regulator was the most active by sanctions imposed in 2025?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[],""dates"":{""year"":2025,""start"":""2025-01-01"",""end"":""2025-12-31""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Which regulator was the most active by sanctions imposed in 2025?"",""convex_filters"":{""dateOfAction_gte"":""2025-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
Which regulator was the least active by sanctions imposed in 2025?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[],""dates"":{""year"":2025,""start"":""2025-01-01"",""end"":""2025-12-31""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""medium"",""ambiguities"":[""Least active by sanctions imposed is interpreted as the regulator with the lowest count of enforcement actions in 2025; it is unclear whether regulators with zero actions should be included.""],""metric"":""min"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Which regulator was the least active by sanctions imposed in 2025?"",""convex_filters"":{""dateOfAction_gte"":""2025-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
How many real estate related enforcement actions were taken by FINTRAC in 2024?,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[""FINTRAC""],""dates"":{""year"":2024,""start"":""2024-01-01"",""end"":""2024-12-31""},""violation_types"":[],""jurisdictions"":[],""sectors"":[""DNFBP - Real Estate""],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""How many real estate related enforcement actions were taken by FINTRAC in 2024?"",""convex_filters"":{""regulatorName"":""FINTRAC"",""sector"":""DNFBP - Real Estate"",""dateOfAction_gte"":""2024-01-01"",""dateOfAction_lte"":""2024-12-31""}}"
What is the most common violation type sanctioned by MAS?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""MAS""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the most common violation type sanctioned by MAS?"",""convex_filters"":{""regulatorName"":""MAS""}}"
What is the largest fine issued by the FCA in relation to AML?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""FCA""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the largest fine issued by the FCA in relation to AML?"",""convex_filters"":{""regulatorName"":""FCA"",""field"":""AML""}}"
How many AML fines did FCA impose in 2025?,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[""FCA""],""dates"":{""year"":2025,""start"":""2025-01-01"",""end"":""2025-12-31""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""fine_count"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""How many AML fines did FCA impose in 2025?"",""convex_filters"":{""regulatorName"":""FCA"",""field"":""AML"",""dateOfAction_gte"":""2025-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
How many AML enforcement actions did FCA take in 2025?,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[""FCA""],""dates"":{""year"":2025,""start"":""2025-01-01"",""end"":""2025-12-31""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""How many AML enforcement actions did FCA take in 2025?"",""convex_filters"":{""regulatorName"":""FCA"",""field"":""AML"",""dateOfAction_gte"":""2025-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
"Historically, what other actions has FINCEN taken apart from imposing fines?","{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""FINCEN""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""case_count"",""fine_only"":false,""non_fine_only"":true,""unsupported_reason"":null,""original_query"":""Historically, what other actions has FINCEN taken apart from imposing fines?"",""convex_filters"":{""regulatorName"":""FINCEN""}}"
What was the average size fine impost by FINCEN against depository institutions in 2025?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""FINCEN""],""dates"":{""year"":2025,""start"":""2025-01-01"",""end"":""2025-12-31""},""violation_types"":[],""jurisdictions"":[],""sectors"":[""Depository Institutions""],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""average"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What was the average size fine impost by FINCEN against depository institutions in 2025?"",""convex_filters"":{""regulatorName"":""FINCEN"",""sector"":""Depository Institutions"",""dateOfAction_gte"":""2025-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
What is the smallest fine issued by MAS?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""MAS""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""min"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the smallest fine issued by MAS?"",""convex_filters"":{""regulatorName"":""MAS""}}"
What is the smallest AML fine issued by MAS?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""MAS""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""min"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the smallest AML fine issued by MAS?"",""convex_filters"":{""regulatorName"":""MAS"",""field"":""AML""}}"
What was the most common AML violation sanctioned by MAS in 2025?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""MAS""],""dates"":{""year"":2025,""start"":""2025-01-01"",""end"":""2025-12-31""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What was the most common AML violation sanctioned by MAS in 2025?"",""convex_filters"":{""regulatorName"":""MAS"",""field"":""AML"",""dateOfAction_gte"":""2025-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
What was the most common AML violation sanctioned by HKMA in 2025?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""HKMA""],""dates"":{""year"":2025,""start"":""2025-01-01"",""end"":""2025-12-31""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What was the most common AML violation sanctioned by HKMA in 2025?"",""convex_filters"":{""regulatorName"":""HKMA"",""field"":""AML"",""dateOfAction_gte"":""2025-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
Did HKMA impose a higher number of fines in 2025 than MAS?,"{""query_type"":""comparative_analysis"",""intent"":""compare"",""entities"":{""companies"":[],""regulators"":[""HKMA"",""MAS""],""dates"":{""year"":2025,""start"":""2025-01-01"",""end"":""2025-12-31""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":true,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""fine_count"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Did HKMA impose a higher number of fines in 2025 than MAS?"",""convex_filters"":{""regulatorName"":[""HKMA"",""MAS""],""dateOfAction_gte"":""2025-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
Did HKMA impose a higher number of AML fines in 2025 than MAS?,"{""query_type"":""comparative_analysis"",""intent"":""compare"",""entities"":{""companies"":[],""regulators"":[""HKMA"",""MAS""],""dates"":{""year"":2025,""start"":""2025-01-01"",""end"":""2025-12-31""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":true,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""fine_count"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Did HKMA impose a higher number of AML fines in 2025 than MAS?"",""convex_filters"":{""regulatorName"":[""HKMA"",""MAS""],""field"":""AML"",""dateOfAction_gte"":""2025-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
Provide a brief summary of the MP Technology Services Ltd. fine imposed by FINTRAC in 2025.,"{""query_type"":""grounded_summary"",""intent"":""describe"",""entities"":{""companies"":[""MP Technology Services Ltd.""],""regulators"":[""FINTRAC""],""dates"":{""year"":2025,""start"":""2025-01-01"",""end"":""2025-12-31""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":false,""requires_semantic_search"":true,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""null"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Provide a brief summary of the MP Technology Services Ltd. fine imposed by FINTRAC in 2025."",""convex_filters"":{""regulatorName"":""FINTRAC"",""subjectName"":""MP Technology Services Ltd."",""dateOfAction_gte"":""2025-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
How many enforcement actions has ADGM taken against Virtual Asset Service Providers?,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[""ADGM""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[""Virtual Asset Service Provider""],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""How many enforcement actions has ADGM taken against Virtual Asset Service Providers?"",""convex_filters"":{""regulatorName"":""ADGM"",""sector"":""Virtual Asset Service Provider""}}"
How many AML enforcement actions has ADGM taken against Virtual Asset Service Providers?,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[""ADGM""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[""Virtual Asset Service Provider""],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""How many AML enforcement actions has ADGM taken against Virtual Asset Service Providers?"",""convex_filters"":{""regulatorName"":""ADGM"",""sector"":""Virtual Asset Service Provider"",""field"":""AML""}}"
Which countries / regulators do you provide AML enforcement action information on?,"{""query_type"":""unsupported"",""intent"":""list"",""entities"":{""companies"":[],""regulators"":[],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":false,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""null"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":""system_info_request"",""original_query"":""Which countries / regulators do you provide AML enforcement action information on?"",""convex_filters"":{}}"
Provide an output of all the AML enforcement action data in your database.,"{""query_type"":""unsupported"",""intent"":""list"",""entities"":{""companies"":[],""regulators"":[],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":false,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""low"",""ambiguities"":[""Request asks for all data in the entire database without filters"",""Bulk export without scope, filters, or limit is unsupported""],""metric"":null,""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":""bulk_export_without_filters"",""original_query"":""Provide an output of all the AML enforcement action data in your database."",""convex_filters"":{}}"
