Question,Query Classification Result JSON
How many enforcement action has ADGM taken in 2025 and 2026?,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[""ADGM""],""dates"":{""years"":[2025,2026],""start"":""2025-01-01"",""end"":""2025-12-31""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""medium"",""ambiguities"":[""It is not specified whether the count should be combined across 2025 and 2026 or broken down by year.""],""metric"":""count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""How many enforcement action has ADGM taken in 2025 and 2026?"",""convex_filters"":{""regulatorName"":""ADGM"",""dateOfAction_gte"":""2025-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
How many AML enforcement actions has the FCA taken in the last 5 years?,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[""FCA""],""dates"":{""relative"":""last_5_years"",""from"":""2021-05-10"",""to"":""2026-05-10"",""start"":""2021-01-01"",""end"":""2025-12-31""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""How many AML enforcement actions has the FCA taken in the last 5 years?"",""convex_filters"":{""regulatorName"":""FCA"",""field"":""AML"",""dateOfAction_gte"":""2021-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
Which regulator has imposed the highest average fines for KYC violations?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[],""dates"":{},""violation_types"":[""KYC""],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""medium"",""ambiguities"":[""KYC is not an exact listed violation type and may need mapping to related AML violations such as Customer Due Diligence or Customer identification."",""Comparing average fines across regulators may involve multiple currencies.""],""metric"":""max"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Which regulator has imposed the highest average fines for KYC violations?"",""convex_filters"":{""field"":""AML""}}"
How many cases involve SAR Reporting failures across all regulators?,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[],""dates"":{},""violation_types"":[""SAR reporting""],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""How many cases involve SAR Reporting failures across all regulators?"",""convex_filters"":{}}"
What is the breakdown of enforcement actions by violation type in 2023?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[],""dates"":{""year"":2023,""start"":""2023-01-01"",""end"":""2023-12-31""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""case_count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the breakdown of enforcement actions by violation type in 2023?"",""convex_filters"":{""dateOfAction_gte"":""2023-01-01"",""dateOfAction_lte"":""2023-12-31""}}"
What are the top sectors targeted by AUSTRAC for AML enforcement?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""AUSTRAC""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""case_count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What are the top sectors targeted by AUSTRAC for AML enforcement?"",""convex_filters"":{""regulatorName"":""AUSTRAC"",""field"":""AML""}}"
Which companies has FinCEN sanctioned the most in the past 3 years?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""FINCEN""],""dates"":{""relative"":""past 3 years"",""from"":""2023-05-10"",""to"":""2026-05-10"",""start"":""2023-01-01"",""end"":""2025-12-31""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Which companies has FinCEN sanctioned the most in the past 3 years?"",""convex_filters"":{""regulatorName"":""FINCEN"",""dateOfAction_gte"":""2023-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
Which sector has ADGM penalised the most?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""ADGM""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Which sector has ADGM penalised the most?"",""convex_filters"":{""regulatorName"":""ADGM""}}"
What is the trend of enforcement actions by DFSA from 2020 to 2025?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""DFSA""],""dates"":{""start_year"":2020,""end_year"":2025,""start"":""2020-01-01"",""end"":""2025-12-31""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""trend"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the trend of enforcement actions by DFSA from 2020 to 2025?"",""convex_filters"":{""regulatorName"":""DFSA"",""dateOfAction_gte"":""2020-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
Tell me about recent enforcement actions related to beneficial ownership violations.,"{""query_type"":""record_search"",""intent"":""describe"",""entities"":{""companies"":[],""regulators"":[],""dates"":{""relative"":""recent""},""violation_types"":[""beneficial ownership""],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":false,""requires_semantic_search"":true,""semantic_depth"":""detailed"",""confidence"":""medium"",""ambiguities"":[""The term 'recent' is not a specific date range."",""'Beneficial ownership' is explicitly mentioned as a violation topic but is not an exact listed violation type.""],""metric"":null,""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Tell me about recent enforcement actions related to beneficial ownership violations."",""convex_filters"":{}}"
What patterns exist in transaction monitoring failures across financial institutions?,"{""query_type"":""grounded_summary"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[],""dates"":{},""violation_types"":[""Transaction Monitoring""],""jurisdictions"":[],""sectors"":[""Financial Institution""],""fields"":[]},""requires_aggregation"":false,""requires_semantic_search"":true,""semantic_depth"":""comprehensive"",""confidence"":""medium"",""ambiguities"":[""The query asks for broad 'patterns' without specifying whether the analysis should focus on regulators, jurisdictions, time periods, penalties, or case narratives."",""Financial institutions may refer to the specific sector 'Financial Institution' or a broader group of financial-sector entities.""],""metric"":null,""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What patterns exist in transaction monitoring failures across financial institutions?"",""convex_filters"":{""sector"":""Financial Institution""}}"
Describe the most common compliance program violations in Australia-regulated entities.,"{""query_type"":""aggregation"",""intent"":""describe"",""entities"":{""companies"":[],""regulators"":[],""dates"":{},""violation_types"":[""Compliance programme"",""Compliance program review""],""jurisdictions"":[""Australia""],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""medium"",""ambiguities"":[""Australia-regulated entities could refer to jurisdiction='Australia' or to specific Australian regulators such as AUSTRAC/ASIC."",""Compliance program violations may map to multiple violationTypes such as Compliance programme, Compliance program review, AML Program, or AML policies and procedures.""],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Describe the most common compliance program violations in Australia-regulated entities."",""convex_filters"":{""jurisdiction"":""Australia""}}"
What are the characteristics of the largest AML enforcement cases in recent years?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[],""dates"":{""relative"":""recent years""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""detailed"",""confidence"":""medium"",""ambiguities"":[""'Largest AML enforcement cases' is ambiguous; interpreted as cases with the highest fineAmount, but it could also refer to case significance or scope."",""'Recent years' is not a specific date range."",""No number of top cases specified."",""Comparing largest fines may involve multiple currencies.""],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What are the characteristics of the largest AML enforcement cases in recent years?"",""convex_filters"":{""field"":""AML""}}"
Which sectors have the highest rates of Customer Due Diligence failures?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[],""dates"":{},""violation_types"":[""Customer Due Diligence""],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""medium"",""ambiguities"":[""The denominator for \""rates\"" is not specified: it could mean the proportion of each sector's cases involving Customer Due Diligence failures, or the raw frequency of Customer Due Diligence cases by sector.""],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Which sectors have the highest rates of Customer Due Diligence failures?"",""convex_filters"":{}}"
What enforcement actions were taken between 2022 and 2024 for Currency Transaction Reporting violations?,"{""query_type"":""record_search"",""intent"":""list"",""entities"":{""companies"":[],""regulators"":[],""dates"":{""start_year"":2022,""end_year"":2024,""start"":""2022-01-01"",""end"":""2024-12-31""},""violation_types"":[""Currency transaction reports""],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":false,""requires_semantic_search"":true,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":null,""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What enforcement actions were taken between 2022 and 2024 for Currency Transaction Reporting violations?"",""convex_filters"":{""dateOfAction_gte"":""2022-01-01"",""dateOfAction_lte"":""2024-12-31""}}"
Show me enforcement cases from the past 2 years involving staff training deficiencies.,"{""query_type"":""record_search"",""intent"":""list"",""entities"":{""companies"":[],""regulators"":[],""dates"":{""relative"":""past_2_years"",""from"":""2024-05-10"",""to"":""2026-05-10"",""start"":""2024-01-01"",""end"":""2025-12-31""},""violation_types"":[""Staff training""],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":false,""requires_semantic_search"":true,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""null"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Show me enforcement cases from the past 2 years involving staff training deficiencies."",""convex_filters"":{""dateOfAction_gte"":""2024-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
How many Record Keeping violations were enforced since 2021?,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[],""dates"":{""start_year"":2021,""start"":""2021-01-01"",""end"":""2026-05-10""},""violation_types"":[""Record Keeping""],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""How many Record Keeping violations were enforced since 2021?"",""convex_filters"":{""dateOfAction_gte"":""2021-01-01"",""dateOfAction_lte"":""2026-05-10""}}"
Which enforcement actions resulted in fines exceeding $10 million without criminal charges?,"{""query_type"":""record_search"",""intent"":""list"",""entities"":{""companies"":[],""regulators"":[],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":false,""requires_semantic_search"":true,""semantic_depth"":""detailed"",""confidence"":""medium"",""ambiguities"":[""Currency symbol '$' is assumed to mean USD but could be ambiguous in multi-currency data."",""'Without criminal charges' is not a dedicated structured field and may require semantic/content search in enforcement notice text.""],""metric"":null,""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Which enforcement actions resulted in fines exceeding $10 million without criminal charges?"",""convex_filters"":{}}"
What are the ongoing or recent enforcement trends in the cryptocurrency/fintech sector regarding AML compliance?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[],""dates"":{""relative"":""recent/ongoing""},""violation_types"":[],""jurisdictions"":[],""sectors"":[""VASP"",""Virtual Asset Service Provider"",""Virtual Assets Service Provider"",""Digital Payment Service Provider""],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""medium"",""ambiguities"":[""'recent' is not defined by a specific date range."",""'ongoing' is ambiguous because enforcement records may not indicate ongoing trends directly."",""'cryptocurrency/fintech sector' does not map to one exact sector value; likely includes VASP/virtual asset and digital payment service provider categories.""],""metric"":""case_count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What are the ongoing or recent enforcement trends in the cryptocurrency/fintech sector regarding AML compliance?"",""convex_filters"":{""sector"":[""VASP"",""Virtual Asset Service Provider"",""Virtual Assets Service Provider"",""Digital Payment Service Provider""],""field"":""AML""}}"
How many enforcement actions has Finansinspektionen (Sweden) taken for AML violations since 2022?,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[""FINANSINSPEKTIONEN""],""dates"":{""from_year"":2022,""start"":""2022-01-01"",""end"":""2026-05-10""},""violation_types"":[],""jurisdictions"":[""Sweden""],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""medium"",""ambiguities"":[""Regulator 'Finansinspektionen' is not in the supported regulators list.""],""metric"":""count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""How many enforcement actions has Finansinspektionen (Sweden) taken for AML violations since 2022?"",""convex_filters"":{""regulatorName"":""FINANSINSPEKTIONEN"",""jurisdiction"":""Sweden"",""field"":""AML"",""dateOfAction_gte"":""2022-01-01"",""dateOfAction_lte"":""2026-05-10""}}"
What are the most common violation types in RBNZ and FMA enforcement actions in New Zealand?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""RBNZ"",""FMA""],""dates"":{},""violation_types"":[],""jurisdictions"":[""New Zealand""],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""medium"",""ambiguities"":[""RBNZ and FMA are not in the supported regulators list"",""No limit specified for how many of the most common violation types to return""],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What are the most common violation types in RBNZ and FMA enforcement actions in New Zealand?"",""convex_filters"":{""regulatorName"":[""RBNZ"",""FMA""],""jurisdiction"":""New Zealand""}}"
What is the total amount of fines imposed by the Central Bank of Ireland (CBI) for KYC failures?,"{""query_type"":""aggregation"",""intent"":""sum"",""entities"":{""companies"":[],""regulators"":[""CBI""],""dates"":{},""violation_types"":[""KYC failures""],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""medium"",""ambiguities"":[""KYC failures is explicitly mentioned as a violation concept but is not an exact supported violationTypes value; it may correspond to customer due diligence or customer identification issues in the data."",""Total fines may involve currency handling if multiple currencies are present.""],""metric"":""sum"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the total amount of fines imposed by the Central Bank of Ireland (CBI) for KYC failures?"",""convex_filters"":{""regulatorName"":""CBI""}}"
"How does VARA's enforcement activity compare to other Middle Eastern regulators (DFSA, ADGM, CBUAE)?","{""query_type"":""comparative_analysis"",""intent"":""compare"",""entities"":{""companies"":[],""regulators"":[""VARA"",""DFSA"",""ADGM"",""CBUAE""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":true,""semantic_depth"":""detailed"",""confidence"":""medium"",""ambiguities"":[""'Enforcement activity' is not fully specified; interpreted primarily as case_count, but could also include penalties, enforcement action types, sectors, or trends."",""No time period specified; comparison would use all available records unless further constrained.""],""metric"":""case_count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""How does VARA's enforcement activity compare to other Middle Eastern regulators (DFSA, ADGM, CBUAE)?"",""convex_filters"":{""regulatorName"":[""VARA"",""DFSA"",""ADGM"",""CBUAE""]}}"
"What enforcement actions has AMSF (Monaco) taken, and what are the key violation types?","{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""AMSF""],""dates"":{},""violation_types"":[],""jurisdictions"":[""Monaco""],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""medium"",""ambiguities"":[""AMSF is not listed among the supported regulators"",""Key violation types implies a ranking or frequency analysis, but no specific metric or threshold is provided""],""metric"":""case_count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What enforcement actions has AMSF (Monaco) taken, and what are the key violation types?"",""convex_filters"":{""regulatorName"":""AMSF"",""jurisdiction"":""Monaco""}}"
Compare enforcement volumes: SARB (South Africa) vs AUSTRAC (Australia) in the past 3 years.,"{""query_type"":""comparative_analysis"",""intent"":""compare"",""entities"":{""companies"":[],""regulators"":[""SARB"",""AUSTRAC""],""dates"":{""relative"":""past 3 years"",""from"":""2023-05-10"",""to"":""2026-05-10"",""start"":""2023-01-01"",""end"":""2025-12-31""},""violation_types"":[],""jurisdictions"":[""South Africa"",""Australia""],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":true,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""case_count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Compare enforcement volumes: SARB (South Africa) vs AUSTRAC (Australia) in the past 3 years."",""convex_filters"":{""regulatorName"":[""SARB"",""AUSTRAC""],""jurisdiction"":[""South Africa"",""Australia""],""dateOfAction_gte"":""2023-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
How many AML fines issued by the Central Bank of Ireland?,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[""CBI""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""fine_count"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""How many AML fines issued by the Central Bank of Ireland?"",""convex_filters"":{""regulatorName"":""CBI"",""field"":""AML""}}"
Name the companies that AMSF (Monaco) has taken enforcement action against,"{""query_type"":""record_search"",""intent"":""list"",""entities"":{""companies"":[],""regulators"":[""AMSF""],""dates"":{},""violation_types"":[],""jurisdictions"":[""Monaco""],""sectors"":[],""fields"":[]},""requires_aggregation"":false,""requires_semantic_search"":true,""semantic_depth"":""summary"",""confidence"":""medium"",""ambiguities"":[""AMSF is not in the supported regulators list; verify regulator name/spelling.""],""metric"":null,""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Name the companies that AMSF (Monaco) has taken enforcement action against"",""convex_filters"":{""regulatorName"":""AMSF"",""jurisdiction"":""Monaco""}}"
What is the average amount of financial penalty imposed by the South Africa Reserve Bank (SARB),"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""SARB""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""average"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the average amount of financial penalty imposed by the South Africa Reserve Bank (SARB)"",""convex_filters"":{""regulatorName"":""SARB""}}"
What is the average amount of fine imposed by the South Africa Reserve Bank (SARB) Based on AML enforcement actions in our database,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""SARB""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""average"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the average amount of fine imposed by the South Africa Reserve Bank (SARB) Based on AML enforcement actions in our database"",""convex_filters"":{""regulatorName"":""SARB"",""field"":""AML""}}"
How many actions has SARB taken against insurance businesses?,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[""SARB""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[""Insurance business""],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""How many actions has SARB taken against insurance businesses?"",""convex_filters"":{""regulatorName"":""SARB"",""sector"":""Insurance business""}}"
How many actions has SARB taken against insurance businesses in 2025?,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[""SARB""],""dates"":{""year"":2025,""start"":""2025-01-01"",""end"":""2025-12-31""},""violation_types"":[],""jurisdictions"":[],""sectors"":[""Insurance business""],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""How many actions has SARB taken against insurance businesses in 2025?"",""convex_filters"":{""regulatorName"":""SARB"",""sector"":""Insurance business"",""dateOfAction_gte"":""2025-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
Which company has the most enforcement actions against it in the database,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Which company has the most enforcement actions against it in the database"",""convex_filters"":{}}"
Which company has the most AML sactions against it in the database,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Which company has the most AML sactions against it in the database"",""convex_filters"":{""field"":""AML""}}"
Why has MAS imposed more penalties against individuals than companies?,"{""query_type"":""comparative_analysis"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""MAS""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[""Individual""],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":true,""semantic_depth"":""detailed"",""confidence"":""medium"",""ambiguities"":[""\""penalties\"" could mean enforcement action records, financial penalties, or records with fineAmount > 0"",""\""companies\"" is not a directly available field or sector; comparison may require interpreting non-Individual subjects as companies"",""The query assumes MAS imposed more penalties against individuals than companies; this should be verified statistically before explaining why""],""metric"":""case_count"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Why has MAS imposed more penalties against individuals than companies?"",""convex_filters"":{""regulatorName"":""MAS"",""sector"":""Individual""}}"