#,Jurisdiction,Regulator Name,Subject Name (Case),Sector ,Date of Action ,Action Type,Field ,AML Violation Type(s),Fine Amount ,Currency,Enforcement Notice URL ,Reference No.,Pending Determination
1,Hong Kong,HKMA,"State Bank of India, Hong Kong Branch",Financial Services,31-Jul-15,"Public Reprimand
Skilled Person Review
Financial Penalty",AML,"Customer due diligence (CDD)
Ongoing monitoring
AML policies and procedures","7,500,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2015/20150731e5a1.pdf,n/a,No
2,Hong Kong,HKMA,"Coutts & Co AG, Hong Kong Branch
",Financial Services,11-Apr-17,"Public Reprimand
Financial Penalty",AML,"Customer due diligence (CDD)
AML policies and procedures","7,000,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2017/20170411e4a1.pdf,n/a,No
3,Hong Kong,HKMA,Shanghai Commercial Bank Limited,Financial Services,17-Aug-18,"Public Reprimand
Skilled Person Review
Financial Penalty",AML,"Customer due diligence (CDD)
Ongoing monitoring
AML policies and procedures","5,000,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2018/20180817e5a1.pdf,n/a,No
4,Hong Kong,HKMA,"JPMorgan Chase Bank, National Association, Hong Kong Branch",Financial Services,28-Dec-18,"Public Reprimand
Skilled Person Review
Financial Penalty",AML,"Customer due diligence (CDD)
Ongoing monitoring
AML policies and procedures","12,500,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2018/20181228e3a1.pdf,n/a,No
5,Hong Kong,HKMA,"UBS AG, Hong Kong Branch",Financial Services,19-Nov-21,Financial Penalty,AML,"Customer due diligence (CDD)
Ongoing monitoring
AML policies and procedures","9,000,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2021/20211119e5a4.pdf,n/a,No
6,Hong Kong,HKMA,Industrial and Commercial Bank of China (Asia) Limited,Financial Services,19-Nov-21,"Financial Penalty
Skilled Person Review",AML,"Customer due diligence (CDD)
Ongoing monitoring
AML policies and procedures","20,700,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2021/20211119e5a3.pdf,n/a,No
7,Hong Kong,HKMA,"CTBC Bank Co., Ltd., Hong Kong Branch",Financial Services,19-Nov-21,Financial Penalty,AML,"Customer due diligence (CDD)
Ongoing monitoring
AML policies and procedures","6,000,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2021/20211119e5a2.pdf,n/a,No
8,Hong Kong,HKMA,China Construction Bank (Asia) Corporation Limited,Financial Services,19-Nov-21,"Financial Penalty
Skilled Person Review",AML,"Customer due diligence (CDD)
Ongoing monitoring
AML policies and procedures","8,500,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2021/20211119e5a1.pdf,n/a,No
9,Hong Kong,HKMA,"ePaylinks Technology Co., Limited",Stored Value Facility,20-Dec-21,"Public Reprimand
Financial Penalty",AML,"Customer due diligence (CDD)
Ongoing monitoring
AML policies and procedures","1,000,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2021/20211220e3a1.pdf,n/a,No
10,Hong Kong,HKMA,33 Financial Services Limited,Stored Value Facility,14-Jan-22,"Public Reprimand
Financial Penalty",AML,"Customer due diligence (CDD)
Ongoing monitoring   ","875,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2022/20220114e5a1.pdf,n/a,No
11,Hong Kong,HKMA,"Commerzbank AG, Hong Kong Branch",Financial Services,26-Aug-22,Financial Penalty,AML,"Customer due diligence (CDD)
AML policies and procedures","6,000,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2022/20220826e6a1.pdf,n/a,No
12,Hong Kong,HKMA,"Cathay United Bank Company, Limited, Hong Kong Branch",Financial Services,23-Sep-22,Financial Penalty,AML,"Customer due diligence (CDD)
Enhanced due diligence (EDD)
AML policies and procedures","11,000,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2022/20220923e3a1.pdf,n/a,No
13,Hong Kong,HKMA,"Westpac Banking Corporation, Hong Kong Branch",Financial Services,31-Jan-23,Financial Penalty,AML,"Customer due diligence (CDD)
AML policies and procedures","4,000,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2023/20230131e11a1.pdf,n/a,No
14,Hong Kong,HKMA,"EFG Bank AG, Hong Kong Branch",Financial Services,15-Aug-23,Financial Penalty,AML,"Customer due diligence (CDD)
Ongoing monitoring
AML policies and procedures","16,000,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2023/20230815e6a1.pdf,n/a,No
15,Hong Kong,HKMA,"CA Indosuez (Switzerland) SA, Hong Kong Branch",Financial Services,29-Nov-23,Financial Penalty,AML,"Ongoing monitoring
AML policies and procedures","3,500,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2023/20231129e4a1.pdf,n/a,No
16,Hong Kong,HKMA,TNG (Asia) Limited,Stored Value Facility,18-Dec-23,"Public Reprimand
Financial Penalty",AML,"Ongoing monitoring
AML policies and procedures
Governance and risk management
Systems and controls","1,575,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2023/20231218e5a1.pdf,n/a,No
17,Hong Kong,HKMA,"Hua Nan Commercial Bank, Ltd., Hong Kong Branch",Financial Services,19-Apr-24,Financial Penalty,AML,"Ongoing monitoring
AML policies and procedures","9,000,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2024/20240419e5a1.pdf,n/a,No
18,Hong Kong,HKMA,DBS Bank (Hong Kong) Limited,Financial Services,05-Jul-24,Financial Penalty,AML,"Ongoing monitoring
AML policies and procedures
Recordkeeping","10,000,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2024/20240705e3a1.pdf,n/a,No
19,Hong Kong,HKMA,WeChat Pay Hong Kong Limited,Stored Value Facility,30-Aug-24,Financial Penalty,AML,"Customer due diligence (CDD)
Enhanced due diligence (EDD)
AML policies and procedures","875,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2024/20240830e7a1.pdf,n/a,No
20,Hong Kong,HKMA,Fubon Bank (Hong Kong) Limited,Financial Services,08-Nov-24,Financial Penalty,AML,"Ongoing monitoring
AML policies and procedures","4,000,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2024/20241108e5a1.pdf,n/a,No
21,Hong Kong,HKMA,China CITIC Bank International Limited,Financial Services,06-Dec-24,Financial Penalty,AML,"Ongoing monitoring
AML policies and procedures","4,000,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2024/20241206e6a1.pdf,n/a,No
22,Hong Kong,HKMA,"Bank of Communications Co., Ltd., Hong Kong Branch (BCOM Hong Kong Branch)",Financial Services,22-Jul-25,Financial Penalty,AML,"Ongoing monitoring
AML policies and procedures","3,700,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2025/20250722e4a3.pdf,n/a,No
23,Hong Kong,HKMA,Bank of Communications (Hong Kong) Limited (BCOM(HK)),Financial Services,22-Jul-25,Financial Penalty,AML,"Ongoing monitoring
AML policies and procedures","4,000,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2025/20250722e4a2.pdf,n/a,No
24,Hong Kong,HKMA,"Indian Overseas Bank, Hong Kong Branch (IOBHK)",Financial Services,22-Jul-25,"Public Reprimand
Remediation
Financial Penalty",AML,"Ongoing monitoring
AML policies and procedures","8,500,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2025/20250722e4a1.pdf,n/a,No
25,Hong Kong,HKMA,33 Financial Services Limited ,Stored Value Facility,22-Jul-25,"Public Reprimand
Financial Penalty",AML,Customer Due Diligence (CDD),"1,600,000",HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2025/20250722e5a1.pdf,n/a,No
